,TECHNOLOGY,YEAR,REGION,VALUE
528,DEMINDBAGBOI_HIG,2022,RE1,0.0
529,DEMINDBAGBOI_HIG,2023,RE1,0.0
530,DEMINDBAGBOI_HIG,2024,RE1,0.0
531,DEMINDBAGBOI_HIG,2025,RE1,0.0
532,DEMINDBAGBOI_HIG,2026,RE1,0.0
533,DEMINDBAGBOI_HIG,2027,RE1,0.0
534,DEMINDBAGBOI_HIG,2028,RE1,0.0
535,DEMINDBAGBOI_HIG,2029,RE1,0.0
536,DEMINDBAGBOI_HIG,2030,RE1,0.0
537,DEMINDBAGBOI_HIG,2031,RE1,0.0
538,DEMINDBAGBOI_HIG,2032,RE1,0.0
539,DEMINDBAGBOI_HIG,2033,RE1,0.0
540,DEMINDBAGBOI_HIG,2034,RE1,0.0
541,DEMINDBAGBOI_HIG,2035,RE1,0.0
542,DEMINDBAGBOI_HIG,2036,RE1,0.0
543,DEMINDBAGBOI_HIG,2037,RE1,0.02822171486555048
544,DEMINDBAGBOI_HIG,2038,RE1,0.029616945712836126
545,DEMINDBAGBOI_HIG,2039,RE1,0.03139269406392694
546,DEMINDBAGBOI_HIG,2040,RE1,0.03367579908675799
547,DEMINDBAGBOI_HIG,2041,RE1,0.03646626078132927
548,DEMINDBAGBOI_HIG,2042,RE1,0.03979578893962455
549,DEMINDBAGBOI_HIG,2043,RE1,0.04360096397767631
550,DEMINDBAGBOI_HIG,2044,RE1,0.047850076103500755
551,DEMINDBAGBOI_HIG,2045,RE1,0.052289446981227804
552,DEMINDBAGBOI_HIG,2046,RE1,0.05672881785895484
553,DEMINDBAGBOI_HIG,2047,RE1,0.06094622019279553
554,DEMINDBAGBOI_HIG,2048,RE1,0.06478310502283105
555,DEMINDBAGBOI_HIG,2049,RE1,0.06811263318112633
556,DEMINDBAGBOI_HIG,2050,RE1,0.07090309487569763
557,DEMINDBAGBOI_HIG,2051,RE1,0.0731544901065449
558,DEMINDBAGBOI_HIG,2052,RE1,0.07493023845763572
559,DEMINDBAGBOI_HIG,2053,RE1,0.07632546930492136
560,DEMINDBAGBOI_HIG,2054,RE1,0.07737189244038559
561,DEMINDBAGBOI_LOW,2022,RE1,0.0
562,DEMINDBAGBOI_LOW,2023,RE1,0.0
563,DEMINDBAGBOI_LOW,2024,RE1,0.0
564,DEMINDBAGBOI_LOW,2025,RE1,0.0
565,DEMINDBAGBOI_LOW,2026,RE1,0.0
566,DEMINDBAGBOI_LOW,2027,RE1,0.0
567,DEMINDBAGBOI_LOW,2028,RE1,0.0
568,DEMINDBAGBOI_LOW,2029,RE1,0.0
